trueR , trueI
0.003646 , 0.000606
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 22528 , -0.010337 , -0.005020, 0.000196, 0.000032
2048 , 45056 , -0.005261 , -0.001993, 0.000079, 0.000007
3072 , 67584 , -0.004104 , -0.000508, 0.000060, 0.000001
4096 , 90112 , -0.003274 , -0.000162, 0.000048, 0.000001
5120 , 112640 , -0.002222 , -0.000267, 0.000034, 0.000001
6144 , 135168 , -0.001739 , -0.000328, 0.000029, 0.000001
7168 , 157696 , -0.001392 , -0.000400, 0.000025, 0.000001
8192 , 180224 , -0.001119 , -0.000387, 0.000023, 0.000001
9216 , 202752 , -0.000887 , -0.000212, 0.000021, 0.000001
10240 , 225280 , -0.000711 , -0.000193, 0.000019, 0.000001
11264 , 247808 , 0.001911 , -0.001211, 0.000003, 0.000003
12288 , 270336 , 0.004185 , -0.002126, 0.000000, 0.000007
13312 , 292864 , 0.003931 , -0.001987, 0.000000, 0.000007
14336 , 315392 , -0.008343 , -0.011744, 0.000144, 0.000153
15360 , 337920 , -0.007785 , -0.010941, 0.000131, 0.000133
16384 , 360448 , -0.007283 , -0.010261, 0.000119, 0.000118
17408 , 382976 , -0.006765 , -0.009688, 0.000108, 0.000106
18432 , 405504 , -0.006433 , -0.009087, 0.000102, 0.000094
19456 , 428032 , -0.006098 , -0.008633, 0.000095, 0.000085
20480 , 450560 , -0.005753 , -0.008212, 0.000088, 0.000078
21504 , 473088 , -0.005468 , -0.007813, 0.000083, 0.000071
22528 , 495616 , -0.005211 , -0.007451, 0.000078, 0.000065
23552 , 518144 , -0.004993 , -0.007124, 0.000075, 0.000060
24576 , 540672 , -0.004782 , -0.006823, 0.000071, 0.000055
25600 , 563200 , -0.004582 , -0.006544, 0.000068, 0.000051
26624 , 585728 , -0.004373 , -0.006335, 0.000064, 0.000048
27648 , 608256 , -0.001573 , -0.007189, 0.000027, 0.000061
28672 , 630784 , -0.001514 , -0.006907, 0.000027, 0.000056
29696 , 653312 , -0.001452 , -0.006679, 0.000026, 0.000053
30720 , 675840 , -0.001420 , -0.006397, 0.000026, 0.000049
31744 , 698368 , -0.002063 , -0.005348, 0.000033, 0.000035
32768 , 720896 , -0.002013 , -0.005169, 0.000032, 0.000033
33792 , 743424 , -0.001950 , -0.005008, 0.000031, 0.000032
34816 , 765952 , -0.001091 , -0.005192, 0.000022, 0.000034
35840 , 788480 , -0.001106 , -0.005047, 0.000023, 0.000032
36864 , 811008 , -0.001089 , -0.004879, 0.000022, 0.000030
37888 , 833536 , -0.001073 , -0.004740, 0.000022, 0.000029
38912 , 856064 , -0.001609 , -0.003921, 0.000028, 0.000020
39936 , 878592 , -0.001563 , -0.003822, 0.000027, 0.000020
40960 , 901120 , 0.000296 , -0.004480, 0.000011, 0.000026
41984 , 923648 , 0.000294 , -0.004373, 0.000011, 0.000025
43008 , 946176 , 0.000301 , -0.004267, 0.000011, 0.000024
44032 , 968704 , -0.000014 , -0.003788, 0.000013, 0.000019
45056 , 991232 , 0.000011 , -0.003697, 0.000013, 0.000019
46080 , 1013760 , 0.000013 , -0.003612, 0.000013, 0.000018
47104 , 1036288 , 0.000504 , -0.003732, 0.000010, 0.000019
48128 , 1058816 , 0.000482 , -0.003636, 0.000010, 0.000018
49152 , 1081344 , 0.000558 , -0.003487, 0.000010, 0.000017
50176 , 1103872 , 0.000557 , -0.003429, 0.000010, 0.000016
51200 , 1126400 , 0.001319 , -0.003705, 0.000005, 0.000019
52224 , 1148928 , 0.001315 , -0.003648, 0.000005, 0.000018
53248 , 1171456 , -0.000700 , -0.001160, 0.000019, 0.000003
54272 , 1193984 , -0.000710 , -0.001103, 0.000019, 0.000003
55296 , 1216512 , 0.000006 , -0.001384, 0.000013, 0.000004
56320 , 1239040 , 0.000014 , -0.001350, 0.000013, 0.000004
57344 , 1261568 , 0.000027 , -0.001329, 0.000013, 0.000004
58368 , 1284096 , 0.000048 , -0.001304, 0.000013, 0.000004
59392 , 1306624 , 0.000114 , -0.001168, 0.000012, 0.000003
60416 , 1329152 , -0.000153 , -0.000822, 0.000014, 0.000002
61440 , 1351680 , -0.000155 , -0.000785, 0.000014, 0.000002
62464 , 1374208 , -0.000141 , -0.000774, 0.000014, 0.000002
63488 , 1396736 , -0.000145 , -0.000762, 0.000014, 0.000002
64512 , 1419264 , -0.000126 , -0.000747, 0.000014, 0.000002
65536 , 1441792 , -0.000458 , -0.000326, 0.000017, 0.000001
66560 , 1464320 , -0.000482 , -0.000296, 0.000017, 0.000001
67584 , 1486848 , -0.000430 , -0.000363, 0.000017, 0.000001
68608 , 1509376 , -0.000414 , -0.000374, 0.000016, 0.000001
69632 , 1531904 , -0.000253 , -0.000440, 0.000015, 0.000001
70656 , 1554432 , 0.000311 , -0.000672, 0.000011, 0.000002
71680 , 1576960 , 0.000599 , -0.001029, 0.000009, 0.000003
72704 , 1599488 , 0.000593 , -0.001014, 0.000009, 0.000003
73728 , 1622016 , 0.000287 , -0.000634, 0.000011, 0.000002
74752 , 1644544 , 0.000668 , -0.000775, 0.000009, 0.000002
75776 , 1667072 , 0.000672 , -0.000770, 0.000009, 0.000002
76800 , 1689600 , 0.000674 , -0.000763, 0.000009, 0.000002
77824 , 1712128 , 0.000668 , -0.000753, 0.000009, 0.000002
78848 , 1734656 , 0.000663 , -0.000744, 0.000009, 0.000002
79872 , 1757184 , 0.000632 , -0.000715, 0.000009, 0.000002
80896 , 1779712 , 0.000624 , -0.000707, 0.000009, 0.000002
81920 , 1802240 , 0.000627 , -0.000691, 0.000009, 0.000002
82944 , 1824768 , 0.000621 , -0.000683, 0.000009, 0.000002
83968 , 1847296 , 0.000632 , -0.000653, 0.000009, 0.000002
84992 , 1869824 , 0.000628 , -0.000645, 0.000009, 0.000002
86016 , 1892352 , 0.000617 , -0.000629, 0.000009, 0.000002
87040 , 1914880 , 0.000612 , -0.000621, 0.000009, 0.000002
88064 , 1937408 , 0.000608 , -0.000615, 0.000009, 0.000001
89088 , 1959936 , 0.000593 , -0.000596, 0.000009, 0.000001
90112 , 1982464 , 0.000584 , -0.000588, 0.000009, 0.000001
91136 , 2004992 , 0.000405 , -0.000374, 0.000011, 0.000001
92160 , 2027520 , 0.000397 , -0.000368, 0.000011, 0.000001
93184 , 2050048 , -0.000474 , 0.000694, 0.000017, 0.000000
94208 , 2072576 , -0.000703 , 0.000971, 0.000019, 0.000000
95232 , 2095104 , -0.000678 , 0.000956, 0.000019, 0.000000
96256 , 2117632 , -0.000669 , 0.000945, 0.000019, 0.000000
97280 , 2140160 , -0.000658 , 0.000917, 0.000019, 0.000000
98304 , 2162688 , -0.000660 , 0.000893, 0.000019, 0.000000
99328 , 2185216 , -0.000246 , 0.000715, 0.000015, 0.000000
100352 , 2207744 , -0.000240 , 0.000706, 0.000015, 0.000000
101376 , 2230272 , -0.000511 , 0.001038, 0.000017, 0.000000
102400 , 2252800 , -0.000501 , 0.001046, 0.000017, 0.000000
103424 , 2275328 , -0.000492 , 0.001037, 0.000017, 0.000000
104448 , 2297856 , -0.000487 , 0.001016, 0.000017, 0.000000
105472 , 2320384 , -0.000040 , 0.000824, 0.000014, 0.000000
106496 , 2342912 , 0.000636 , 0.000501, 0.000009, 0.000000
107520 , 2365440 , 0.001113 , 0.000471, 0.000006, 0.000000
108544 , 2387968 , 0.001103 , 0.000473, 0.000006, 0.000000
109568 , 2410496 , 0.001099 , 0.000471, 0.000006, 0.000000
110592 , 2433024 , 0.001092 , 0.000465, 0.000007, 0.000000
111616 , 2455552 , 0.001074 , 0.000472, 0.000007, 0.000000
112640 , 2478080 , 0.001067 , 0.000468, 0.000007, 0.000000
113664 , 2500608 , 0.001062 , 0.000466, 0.000007, 0.000000
114688 , 2523136 , 0.000272 , 0.001412, 0.000011, 0.000001
115712 , 2545664 , 0.000270 , 0.001402, 0.000011, 0.000001
116736 , 2568192 , 0.000407 , 0.001332, 0.000010, 0.000001
117760 , 2590720 , 0.000414 , 0.001311, 0.000010, 0.000000
118784 , 2613248 , 0.000550 , 0.001242, 0.000010, 0.000000
119808 , 2635776 , 0.000537 , 0.001243, 0.000010, 0.000000
120832 , 2658304 , 0.000534 , 0.001234, 0.000010, 0.000000
121856 , 2680832 , 0.000576 , 0.001205, 0.000009, 0.000000
122880 , 2703360 , 0.000580 , 0.001190, 0.000009, 0.000000
123904 , 2725888 , -0.000599 , 0.001638, 0.000018, 0.000001
124928 , 2748416 , -0.000581 , 0.001619, 0.000018, 0.000001
125952 , 2770944 , -0.000575 , 0.001620, 0.000018, 0.000001
126976 , 2793472 , -0.000572 , 0.001605, 0.000018, 0.000001
128000 , 2816000 , -0.000565 , 0.001591, 0.000018, 0.000001
129024 , 2838528 , -0.000566 , 0.001566, 0.000018, 0.000001
