trueR , trueI
0.003646 , 0.000606
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 1024 , 0.000000 , 0.000000, 0.000013, 0.000000
2048 , 2048 , 0.000000 , 0.000000, 0.000013, 0.000000
3072 , 3072 , 0.000000 , 0.000000, 0.000013, 0.000000
4096 , 4096 , 0.000000 , 0.000000, 0.000013, 0.000000
5120 , 5120 , 0.025671 , -0.010700, 0.000485, 0.000128
6144 , 6144 , -0.004150 , 0.022051, 0.000061, 0.000460
7168 , 7168 , -0.003557 , 0.018901, 0.000052, 0.000335
8192 , 8192 , -0.003112 , 0.016538, 0.000046, 0.000254
9216 , 9216 , -0.002767 , 0.014701, 0.000041, 0.000199
10240 , 10240 , 0.010345 , 0.007881, 0.000045, 0.000053
11264 , 11264 , 0.009405 , 0.007164, 0.000033, 0.000043
12288 , 12288 , 0.008621 , 0.006567, 0.000025, 0.000036
13312 , 13312 , 0.007958 , 0.006062, 0.000019, 0.000030
14336 , 14336 , 0.007390 , 0.005629, 0.000014, 0.000025
15360 , 15360 , 0.015454 , 0.001687, 0.000139, 0.000001
16384 , 16384 , 0.014488 , 0.001582, 0.000118, 0.000001
17408 , 17408 , 0.013636 , 0.001489, 0.000100, 0.000001
18432 , 18432 , 0.012878 , 0.001406, 0.000085, 0.000001
19456 , 19456 , 0.012200 , 0.001332, 0.000073, 0.000001
20480 , 20480 , 0.011590 , 0.001265, 0.000063, 0.000000
21504 , 21504 , 0.017151 , -0.001342, 0.000182, 0.000004
22528 , 22528 , 0.016371 , -0.001281, 0.000162, 0.000004
23552 , 23552 , 0.015659 , -0.001226, 0.000144, 0.000003
24576 , 24576 , 0.015007 , -0.001175, 0.000129, 0.000003
25600 , 25600 , 0.014406 , -0.001128, 0.000116, 0.000003
26624 , 26624 , 0.013852 , -0.001084, 0.000104, 0.000003
27648 , 27648 , 0.013339 , -0.001044, 0.000094, 0.000003
28672 , 28672 , 0.012863 , -0.001007, 0.000085, 0.000003
29696 , 29696 , 0.012419 , -0.000972, 0.000077, 0.000002
30720 , 30720 , 0.012005 , -0.000940, 0.000070, 0.000002
31744 , 31744 , 0.015759 , -0.002635, 0.000147, 0.000011
32768 , 32768 , 0.019277 , -0.004225, 0.000244, 0.000023
33792 , 33792 , 0.018693 , -0.004097, 0.000226, 0.000022
34816 , 34816 , 0.018143 , -0.003976, 0.000210, 0.000021
35840 , 35840 , 0.017625 , -0.003863, 0.000195, 0.000020
36864 , 36864 , 0.017135 , -0.003755, 0.000182, 0.000019
37888 , 37888 , 0.016672 , -0.003654, 0.000170, 0.000018
38912 , 38912 , 0.016233 , -0.003558, 0.000158, 0.000017
39936 , 39936 , 0.015817 , -0.003466, 0.000148, 0.000017
40960 , 40960 , 0.015422 , -0.003380, 0.000139, 0.000016
41984 , 41984 , 0.015046 , -0.003297, 0.000130, 0.000015
